Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Ivy,IVY-1007,overwrite completely prevents publishing into url repositories,Bug,Resolved,Major,Fixed,Maarten Coene,Jing Xue,Jing Xue,1/18/2009 15:30,7/10/2017 12:00,3/17/2009 22:31,2/4/2009 21:15,2,2.1.0-RC1,Core,,0,1,,,,,,,,,"URLRepository.put() throws UnsupportedOperationException with message ""URL repository do not support append operations at the moment"" whenever 'overwrite' is true, even when the artifact being published doesn't exist in the repository.",,,,,,,,2/4/2009 21:15,,,,"8 years, 23 weeks, 4 days ago",,140634,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191454,,,,,,,,0|i0x51j:
Ivy,IVY-1008,"overwrite=""false"" does *not* prevent a url resolver from publishing",Bug,Resolved,Major,Invalid,Maarten Coene,Jing Xue,Jing Xue,1/18/2009 16:06,,3/17/2009 22:29,2/4/2009 21:17,2,,,,0,1,,,,,,,,,"Somewhat ironic (in contrast to IVY-1007), once I commented out the code throwing exception in URLRepository.put(), I'm able to publish even when the pubrevision specified already exists, and when I set overwrite=""false"" on the publish task.",,,,,,,,2/4/2009 21:17,,,,"8 years, 23 weeks, 4 days ago",,140635,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192302,,,,,,,,0|i0xa9z:
Ivy,IVY-1009,Ivy Standalone hangs after publishing to SSH resolver,Bug,Resolved,Major,Fixed,Maarten Coene,Nathan Tomkins,Nathan Tomkins,1/19/2009 5:15,,3/17/2009 22:31,2/4/2009 21:33,"2.0-RC2, 2.0",2.1.0-RC1,Core,,0,0,,,,,,,,"Windows XP, standalone ivy. SSH server running on CentOS 5","I'm using Ivy in standalone mode to manage DLLs for a C# project. I have an SSH repository set up, which works fine for retrieving artifacts, but not for publishing them.

When I publish a module, everything succeeds as expected, however ivy doesn't exit and return to the command prompt. If ivy is run with -verbose or -debug, the last thing it prints to the console is ""publish done (12273ms)"".",,,,,,,,2/4/2009 21:33,,,,"8 years, 23 weeks, 4 days ago",,140636,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191148,,,,,,,,0|i0x35j:
Ivy,IVY-1010,XmlModuleDescriptorUpdater is a mess that produces broken xmls in many cases,Bug,Resolved,Major,Fixed,Maarten Coene,Alexey Ermakov,Alexey Ermakov,1/20/2009 20:27,,12/23/2010 20:53,12/23/2010 20:53,2.0-RC2,2.3.0-RC1,Core,,1,1,,,,,,,,,"There are many severe issues with charsets and xml processing in general in XmlModuleDescriptorUpdater#copyHeader() and the rest of XmlModuleDescriptorUpdater.
Namely, you 1) don't check for byte-order mark presence, 2) don't perform the XML encoding guessing as per XML spec, 3) open ivy.xml in platform-default encoding, 4) write your own XML serializer that doesn't even do output escaping for character data.
I recommend you to send one of your programmers to an XML 101 course and rewrite this mess using standard XML apis, such as DOM or StAX.

To reproduce parts 1)-3), try resolving and publishing a module with ivy.xml in UTF-16LE (with BOM).",,,,,,,,12/23/2010 20:53,,,,"6 years, 29 weeks, 3 days ago",,140637,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191465,,,,,,,,0|i0x53z:
Ivy,IVY-1011,Enhance download options,New Feature,Open,Minor,Unresolved,Unassigned,Jan Matèrne,Jan Matèrne,1/23/2009 10:03,,5/26/2015 3:10,,,,Core,,18,7,,,,,,,,,"Enhance the downloading of artefacts.
- parallel downloads
- resuming a download
- partial downloads
- using a downloadmanager (for getting the first three topics)

(Without knowing the internals) I think of something like

public interface Downloader {
/**
* @param source From where to download
* @param target where to store the artefact
* @param progressReporter something that reports the progress (the [.......]ok at the moment)
*/
download(URI source, File target, ?? progressReporter);
}




Implementations:
- SerialDownloader : the existing downloader
- ParallelDownloader : starts multiple downloads in parallel
- SunDownloader : uses Suns Downloadmanager [1] for doing the job
- ??Downloader : other (free available Java based) download manager

[1] http://www.sun.com/download/sdm/download.xml
",,,,,,,,1/24/2009 8:37,,,,"2 years, 6 weeks, 6 days ago",,140638,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245811,,,,,,,,0|i16gjb:
Ivy,IVY-1012,TTL does not work as expected,Bug,Resolved,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/24/2009 9:48,,3/17/2009 22:31,1/24/2009 11:04,2,2.1.0-RC1,,,0,0,,,,,,,,,"It seems that the TTL feature does not work as expected. I'm not even sure it works at all, it definetly needs some investigation. It could also be a good opportunity to deal with IVY-879.",,,,,,,,,,,,"8 years, 25 weeks, 2 days ago",,140639,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190803,,,,,,,,0|i0x10v:
Ivy,IVY-1013,support resolve refresh in command line,Improvement,Resolved,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/24/2009 12:24,,3/17/2009 22:31,1/24/2009 12:27,,2.1.0-RC1,,,0,0,,,,,,,,,There's currently no option to run a resolve in refresh mode when used from command line,,,,,,,,,,,,"8 years, 25 weeks, 1 day ago",,140640,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190784,,,,,,,,0|i0x0wn:
Ivy,IVY-1014,add -version option on command line,Improvement,Resolved,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/24/2009 12:29,,3/17/2009 22:31,1/24/2009 12:42,,2.1.0-RC1,,,0,0,,,,,,,,,"Ivy always display its version information when performing almost anything, but there is no way to easily get only the version information on command line.",,,,,,,,,,,,"8 years, 25 weeks, 1 day ago",,140641,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190585,,,,,,,,0|i0wzof:
Ivy,IVY-1015,Flag to disable System property lookups by Ivy,New Feature,Resolved,Major,Fixed,Xavier Hanin,Jeffrey Sinclair,Jeffrey Sinclair,1/24/2009 22:10,,3/17/2009 22:31,1/25/2009 17:49,"1.0, 1.1, 1.2, 1.3, 1.3.1, 1.4, 1.4.1, 2.0.0-alpha-1, 2.0.0-alpha-2, 2.0.0-beta-1, 2.0.0-beta-2, 2.0-RC1, 2.0-RC2, 2.0",2.1.0-RC1,,,0,0,,,,,,,,,"When configuring Ivy through IvySettings, a call to System.getProperties() is made. 

System property calls are typically disabled through the security manager in shared web containers which results in the following stack trace:

java.security.AccessControlException: access denied
(java.util.PropertyPermission * read,write)
java.security.AccessControlContext.checkPermission(AccessControlContext.java:323)
java.security.AccessController.checkPermission(AccessController.java:546)
java.lang.SecurityManager.checkPermission(SecurityManager.java:532)
java.lang.SecurityManager.checkPropertiesAccess(SecurityManager.java:1252)
java.lang.System.getProperties(System.java:582)
org.apache.ivy.core.settings.IvySettings.addSystemProperties(IvySettings.java:294)
org.apache.ivy.core.settings.IvySettings.<init>(IvySettings.java:290)
org.apache.ivy.core.settings.IvySettings.<init>(IvySettings.java:212)

Since there is no out-of-the-box workaround, Ivy cannot be used in such an environment.

Ivy could be made more web app friendly by providing a flag to disable System property lookups. 

It would be useful to configure this flag through API on the IvySettings class.

Any other usage of system properties outside of the IvySettings file should also be controllable.",,,,,,,,1/25/2009 17:49,,,,"8 years, 25 weeks ago",,140642,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191122,,,,,,,,0|i0x2zr:
Ivy,IVY-1016,Patch to add an ivy:eclipse ant task that generates Eclipse .classpath files,New Feature,Closed,Major,Won't Fix,Unassigned,Jing Xue,Jing Xue,1/26/2009 3:20,,1/27/2009 11:32,1/26/2009 14:51,2.3.0-RC1,,Ant,,0,1,,,,,,,,,"I put together a post-resolve ivy:eclipse task that updates the Eclipse .classpath file according to the result of ivy:resolve. It also will discover any source jars if they are part of the resolve/download, and automatically attach them to the corresponding entries.

For example, I have this entry in ivy.xml:
{code:xml|title=ivy.xml}
<dependency org=""commons-collections"" name=""commons-collections"" rev=""3.2.1"" conf=""compile;references"">
<artifact name=""commons-collections"" type=""sources"" ext=""jar"" m:classifier=""sources"" conf=""references"" />
</dependency>
{code}

In build.xml, I have:
{code:xml|title=build.xml}
<target name=""eclipse"" description=""Updates eclipse classpath."">
<ivy:configure settingsId=""ivy.eclipse"" override=""true"" />
<ivy:resolve settingsRef=""ivy.eclipse"" conf=""compile, references"" />
<ivy:eclipse settingsRef=""ivy.eclipse"" conf=""compile, references"" />
</target>
{code}

And running 'ant eclipse' will update my .classpath with the cache path to the commons-collections jar, with its sources jar attached. The classpath entry will be annotated with an ivygen=""true"". Next time I run 'ant eclipse', this entry will be recognized and replaced with whatever updated paths.

This is only the first draft. I know there is IvyDE, but I feel that this could be a good starting point for an alternative that is more Ant-oriented.
",,,,,,,,1/26/2009 10:53,,,,"8 years, 24 weeks, 6 days ago",,140643,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,193094,,,,,,,,0|i0xf5z:
